Które z określeń nie oznacza wysłannika;emisariusz;kurier;poseł;ordynat;ordynat
Która z tych planet jest najbliżej Słońca?;Merkury;Wenus;Mars;Saturn;Merkury
Kto jest autorem powieści "Władca Pierścieni"?;J.R.R. Tolkien;George Orwell;J.K. Rowling;Fyodor Dostoevsky;J.R.R. Tolkien
Która z tych rzek przepływa przez Paryż?;Sekwana;Nil;Amazonka;Missisipi;Sekwana
Który z tych chemicznych pierwiastków ma najwyższą liczbę atomową?;Uran;Żelazo;Azot;Tlen;Uran
Jak nazywa się jednostka mocy?;Watt;Volt;Ampere;Joule;Watt
Który z tych astronomów odkrył prawa ruchu planet?;Johannes Kepler;Galileusz Galilei;Isaac Newton;Nicolaus Copernicus;Johannes Kepler
Jak nazywa się największe jezioro w Afryce?;Jezioro Wiktorii;Jezioro Bajkał;Jezioro Tanganika;Jezioro Michigan;Jezioro Wiktorii
Która z tych wysp jest największa?;Grenlandia;Madagaskar;Wielka Brytania;Jawa;Grenlandia
Kto jest autorem obrazu "Guernica"?;Pablo Picasso;Leonardo da Vinci;Vincent van Gogh;Michelangelo;Pablo Picasso
Który z tych oceanów jest najgłębszy?;Ocean Spokojny;Ocean Atlantycki;Ocean Indyjski;Ocean Arktyczny;Ocean Spokojny
