Z jakimi plemionami Indian walczył generał Custer and Little Big Horn;Czirokezami i Seminolami;Sjuksami i Szejenami;Szoszonami i Wronami;Huronami i Mohikanami;Sjuksami i Szejenami
Kim jest autorem powieści "Wojna i pokój"?;Fiodor Dostojewski;Gustave Flaubert;Marcel Proust;Lev Tolstoj;Virginia Woolf;Lev Tolstoj
Jakie jest przybliżone przybliżenie liczby pi?;3,14159265359;2,71828182846;1,61803398875;4,66920160910;0,57721566490;3,14159265359
Która planeta w Układzie Słonecznym ma najwięcej księżyców?;Saturn;Mars;Jowisz;Neptun;Uran;Jowisz
Który kraj ma najdłuższą granicę lądową na świecie?;Rosja;Chiny;Kanada;Stany Zjednoczone;Brazylia;Rosja
Kto jest autorem obrazu "Nocna straż"?;Rembrandt van Rijn;Pablo Picasso;Vincent van Gogh;Leonardo da Vinci;Michelangelo;Rembrandt van Rijn
Jakie jest największe jezioro na świecie pod względem powierzchni?;Morze Kaspijskie;Jezioro Górne;Jezioro Wiktorii;Jezioro Michigan;Jezioro Bajkał;Morze Kaspijskie
Kto skomponował "9. Symfonię"?;Ludwig van Beethoven;Wolfgang Amadeus Mozart;Johann Sebastian Bach;Franz Schubert;Johannes Brahms;Ludwig van Beethoven
Które państwo jest najmniejszym na świecie pod względem powierzchni?;Watykan;Monako;Nauru;Tuvalu;San Marino;Watykan
Kto jest autorem powieści "Złote popołudnie"?;Gabriel García Márquez;F. Scott Fitzgerald;Haruki Murakami;Virginia Woolf;Ernest Hemingway;F. Scott Fitzgerald
Który pierwiastek chemiczny ma największą liczbę atomową?;Oganesson;Uran;Hel;Rtęć;Cyrkon;Oganesson
